competition,date,athlete,round,run,trick_order,trick_name,planned_trick,landed,coach_execution_rating,rag_rating,fail_reason,prev_trick_quality,run_completion_pct,run_score,coach_notes,overall_position_after_round
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,5,Double Tailwhip,Double Tailwhip,Yes,7,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,6,Backflip Table,Backflip Table,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,7,Turn Down,Turn Down,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,8,360 Barspin,360 Barspin,Yes,7,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,9,Invert,Invert,Yes,8,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,10,Tailwhip Air,Tailwhip Air,Yes,8,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,11,No Hander,No Hander,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,12,Can Can,Can Can,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,13,Superman,Superman,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,14,Flair Whip,Flair Whip,Yes,5,Amber,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,15,Double Barspin,Double Barspin,Yes,7,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,16,Truck to Fakie,Truck to Fakie,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,17,One Hand Table,One Hand Table,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,18,720,720,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,19,Downside Whip,Downside Whip,Yes,8,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,20,Turndown Air,Turndown Air,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,21,Barspin Rewind,Barspin Rewind,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,22,X-Up Air,X-Up Air,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,23,Speed Transfer,Speed Transfer,Yes,8,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,24,Backflip Indian Air,Backflip Indian Air,Yes,7,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,25,900 Attempt,900 Attempt,Yes,7,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,1,Backflip Tailwhip,Backflip Tailwhip,Yes,7,Green,,N/A,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,2,Double Barspin,Double Barspin,Yes,8,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,3,Flair,Flair,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,4,720,720,Yes,5,Amber,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,5,Truck Driver,Truck Driver,Yes,7,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,6,Barspin Transfer,Barspin Transfer,Yes,8,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,7,Tailwhip Air,Tailwhip Air,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,8,Turn Down,Turn Down,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,9,360 Table,360 Table,Yes,6,Amber,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,10,Invert,Invert,Yes,6,Amber,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,11,Cash Roll,Cash Roll,Yes,5,Amber,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,12,No Hander,No Hander,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,13,Turndown Air,Turndown Air,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,14,Can Can,Can Can,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,15,Superman,Superman,Yes,7,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,16,Flair Barspin,Flair Barspin,Yes,6,Amber,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,17,Downside Tailwhip,Downside Tailwhip,Yes,8,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,18,360 Barspin,360 Barspin,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,19,X-Up Air,X-Up Air,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,20,One Hand Table,One Hand Table,Yes,8,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,21,720 Tailwhip Attempt,720 Tailwhip Attempt,Yes,6,Amber,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,22,Truck to Fakie,Truck to Fakie,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,23,Barspin Rewind,Barspin Rewind,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,24,Speed Transfer,Speed Transfer,Yes,7,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,1,25,Double Tailwhip,Double Tailwhip,Yes,5,Amber,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,1,Cash Roll,Cash Roll,Yes,8,Green,,N/A,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,2,Truck Driver,Truck Driver,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,3,Flair,Flair,Yes,6,Amber,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,4,Barspin Transfer,Barspin Transfer,Yes,8,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,5,Double Tailwhip,Double Tailwhip,Yes,7,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,6,Backflip Table,Backflip Table,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,7,Turn Down,Turn Down,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,8,360 Barspin,360 Barspin,Yes,7,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,9,Invert,Invert,Yes,8,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,10,Tailwhip Air,Tailwhip Air,Yes,8,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,11,No Hander,No Hander,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,12,Can Can,Can Can,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,13,Superman,Superman,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,14,Flair Whip,Flair Whip,Yes,5,Amber,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,15,Double Barspin,Double Barspin,Yes,7,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,16,Truck to Fakie,Truck to Fakie,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,17,One Hand Table,One Hand Table,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,18,720,720,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,19,Downside Whip,Downside Whip,Yes,8,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,20,Turndown Air,Turndown Air,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,21,Barspin Rewind,Barspin Rewind,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,22,X-Up Air,X-Up Air,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,23,Speed Transfer,Speed Transfer,Yes,8,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,24,Backflip Indian Air,Backflip Indian Air,Yes,7,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Semi-Final,2,25,900 Attempt,900 Attempt,Yes,7,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,1,Backflip Tailwhip,Backflip Tailwhip,Yes,8,Green,,N/A,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,2,Double Barspin,Double Barspin,Yes,4,Amber,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,3,Flair,Flair,Yes,5,Amber,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,4,720,720,Yes,6,Amber,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,5,Truck Driver,Truck Driver,Yes,8,Green,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,6,Barspin Transfer,Barspin Transfer,Yes,9,Green,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,7,Tailwhip Air,Tailwhip Air,Yes,5,Amber,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,8,Turn Down,Turn Down,Yes,7,Green,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,9,360 Table,360 Table,Yes,7,Green,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,10,Invert,Invert,Yes,7,Green,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,11,Cash Roll,Cash Roll,Yes,6,Amber,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,12,No Hander,No Hander,Yes,9,Green,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,13,Turndown Air,Turndown Air,Yes,6,Amber,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,14,Can Can,Can Can,Yes,7,Green,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,15,Superman,Superman,Yes,8,Green,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,16,Flair Barspin,Flair Barspin,Yes,7,Green,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,17,Downside Tailwhip,Downside Tailwhip,Yes,9,Green,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,18,360 Barspin,360 Barspin,Yes,5,Amber,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,19,X-Up Air,X-Up Air,Yes,7,Green,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,20,One Hand Table,One Hand Table,Yes,9,Green,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,21,720 Tailwhip Attempt,720 Tailwhip Attempt,Yes,7,Green,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,22,Truck to Fakie,Truck to Fakie,Yes,5,Amber,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,23,Barspin Rewind,Barspin Rewind,Yes,6,Amber,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,24,Speed Transfer,Speed Transfer,Yes,8,Green,,Good,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,1,25,Double Tailwhip,Double Tailwhip,No,0,Red,Hands slipped off bars,Moderate,96,95,Some higher-difficulty tricks remain inconsistent,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,1,Cash Roll,Cash Roll,Yes,4,Amber,,N/A,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,2,Truck Driver,Truck Driver,Yes,7,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,3,Flair,Flair,Yes,7,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,4,Barspin Transfer,Barspin Transfer,Yes,9,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,5,Double Tailwhip,Double Tailwhip,No,0,Red,Hands slipped off bars,Moderate,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,6,Backflip Table,Backflip Table,Yes,5,Amber,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,7,Turn Down,Turn Down,Yes,8,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,8,360 Barspin,360 Barspin,Yes,8,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,9,Invert,Invert,Yes,9,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,10,Tailwhip Air,Tailwhip Air,Yes,9,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,11,No Hander,No Hander,Yes,9,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,12,Can Can,Can Can,Yes,7,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,13,Superman,Superman,Yes,8,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,14,Flair Whip,Flair Whip,Yes,6,Amber,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,15,Double Barspin,Double Barspin,Yes,8,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,16,Truck to Fakie,Truck to Fakie,Yes,9,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,17,One Hand Table,One Hand Table,Yes,7,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,18,720,720,Yes,6,Amber,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,19,Downside Whip,Downside Whip,Yes,9,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,20,Turndown Air,Turndown Air,Yes,9,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,21,Barspin Rewind,Barspin Rewind,Yes,6,Amber,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,22,X-Up Air,X-Up Air,Yes,8,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,23,Speed Transfer,Speed Transfer,Yes,9,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,24,Backflip Indian Air,Backflip Indian Air,Yes,8,Green,,Good,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Luca Mercer,Final,2,25,900 Attempt,900 Attempt,No,0,Red,Could not reset after previous trick,Moderate,92,95,Poor execution on one trick appears to affect the next,3
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,1,Barspin,Barspin,Yes,7,Green,,N/A,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,2,360 Tailwhip,360 Tailwhip,Yes,8,Green,,Good,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,3,Backflip,Backflip,Yes,8,Green,,Good,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,4,Flair,Flair,Yes,4,Amber,,Good,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,5,Truck Driver,Truck Driver,Yes,6,Amber,,Good,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,6,Tabletop Air,Tabletop Air,No,0,Red,Loss of line after hard landing,Low,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,7,Can Can,Can Can,No,0,Red,Crash out,Low,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,8,X-Up Air,X-Up Air,No,0,Red,Run ended after crash,Crash,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,9,One Hand Table,One Hand Table,No,0,Red,Run ended after crash,Crash,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,10,Toboggan,Toboggan,No,0,Red,Run ended after crash,Crash,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,11,Tailwhip,Tailwhip,No,0,Red,Run ended after crash,Crash,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,12,360,360,No,0,Red,Run ended after crash,Crash,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,13,Barspin Transfer,Barspin Transfer,No,0,Red,Run ended after crash,Crash,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,14,Turn Down,Turn Down,No,0,Red,Run ended after crash,Crash,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,15,Invert,Invert,No,0,Red,Run ended after crash,Crash,20,52,Crash-out affected run flow and completion,9
Montpellier World Cup,12/05/2026,Tia Rowan,Qualification,1,16,Straight Air,Straight Air,No,0,Red,Run ended after crash,Crash,20,52,Crash-out affected run flow and completion,9
